"","X","az","date","senat","anordnung","link","year","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","wechsel_at_all","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4981",5625,"2 BvQ 30/01",2001-08-01,2,1,"http://www.bverfg.de/e/qk20010801_2bvq003001.html",2001,3,"Hassemer","DiFabio","Mellinghoff","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Limbach","DiFabio","Hassemer Mellinghoff DiFabio",1,0,"1","DiFabio Jentsch Broß Sommer Osterloh",1,FALSE,0
"4983",5609,"2 BvR 1349/01",2001-08-14,2,0,"http://www.bverfg.de/e/rk20010814_2bvr134901.html",2001,3,"Limbach","Jentsch","Hassemer","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Mellinghoff","Jentsch","Limbach Hassemer DiFabio",2,0,"2","DiFabio Jentsch Broß Sommer Osterloh",2,FALSE,1
"4991",5585,"2 BvR 1523/01",2001-09-10,2,0,"http://www.bverfg.de/e/rk20010910_2bvr152301.html",2001,3,"Limbach","Hassemer","Osterloh","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Mellinghoff","Osterloh","Limbach Hassemer DiFabio",2,0,"5","DiFabio Jentsch Broß Sommer Osterloh",3,FALSE,1
"4993",5570,"2 BvR 1349/01",2001-09-20,2,0,"http://www.bverfg.de/e/rk20010920_2bvr134901.html",2001,3,"Broß","Hassemer","Mellinghoff","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Limbach","Broß","Hassemer Mellinghoff DiFabio",1,0,"3","DiFabio Jentsch Broß Sommer Osterloh",1,FALSE,1
"5057",5396,"2 BvQ 7/02",2002-01-30,2,1,"http://www.bverfg.de/e/qk20020130_2bvq000702.html",2002,3,"Limbach","Hassemer","DiFabio","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Mellinghoff","DiFabio","Limbach Hassemer DiFabio",2,0,"1","DiFabio Jentsch Broß Sommer Osterloh",2,FALSE,0
"5080",5324,"2 BvR 397/02",2002-03-21,2,0,"http://www.bverfg.de/e/rk20020321_2bvr039702.html",2002,3,"Sommer","Hassemer","Osterloh","Limbach","Hassemer","Mellinghoff","DiFabio Jentsch Broß Sommer Osterloh",1,"Limbach Mellinghoff","Sommer Osterloh","Hassemer DiFabio Jentsch",1,0,"4 5","DiFabio Jentsch Broß Sommer Osterloh",3,FALSE,1
"5102",5237,"2 BvQ 31/02",2002-06-20,2,1,"http://www.bverfg.de/e/qk20020620_2bvq003102.html",2002,3,"Sommer","Osterloh","Mellinghoff","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Hassemer","Sommer","Osterloh Mellinghoff DiFabio",1,0,"2","DiFabio Sommer Jentsch",2,FALSE,1
"5103",5229,"2 BvR 729/02",2002-06-27,2,0,"http://www.bverfg.de/e/rk20020627_2bvr072902.html",2002,3,"Hassemer","Sommer","Lübbe-Wolff","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Osterloh Mellinghoff","Sommer Lübbe-Wolff","Hassemer Lübbe-Wolff DiFabio",2,0,"1 3","Lübbe-Wolff DiFabio Sommer Jentsch",3,FALSE,1
"5115",5177,"2 BvR 932/02",2002-08-12,2,0,"http://www.bverfg.de/e/rk20020812_2bvr093202.html",2002,3,"Hassemer","Sommer","Broß","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Osterloh Mellinghoff","Sommer Broß","Hassemer Lübbe-Wolff DiFabio",2,0,"3 4","Lübbe-Wolff DiFabio Sommer Broß Jentsch",2,FALSE,1
"5161",5056,"2 BvR 1570/00",2002-12-10,2,0,"http://www.bverfg.de/e/rk20021210_2bvr157000.html",2002,3,"Hassemer","Osterloh","Lübbe-Wolff","Hassemer","Osterloh","Mellinghoff","Lübbe-Wolff DiFabio Sommer Broß Jentsch",1,"Mellinghoff","Lübbe-Wolff","Hassemer Osterloh Lübbe-Wolff",3,1,"1","Lübbe-Wolff DiFabio Sommer Broß Jentsch",3,FALSE,0
